transaction_id,customer_id,date,amount,method,status,note
WN5PQTIWJDHA,C100697,10/08/2025,239.01,bank_transfer,failed,śpec!al
K0QOI2Z03WDU,C100196,2022-07-19,222.54,cash,chargeback,
7I73AMCRN4C1,C101321,28/10/2022,457.23,credit,pending,chargeback - disputed
1U8LR9AWE80K,C101493,2020-03-01,145.9,ideal,Success,partial
PJ79BCTTSXNA,C100458,22-May-2016,305.6,Card,refunded,śpec!al
HQ15U6C52T3X,C101938,20160713,202.74,cash,refunded,
E3GLM0YSSY56,C101553,22-Jul-2018,63.2,BACS,Success,auto-retry
WD4ST6FTXDY2,C93718,2024-04-06,277.05,ideal,pending,
ZG4DGV7Y8PA3,C97789,17/11/2025,142.03,Card,pending,śpec!al
AYK5SYVBCH0Z,C100032,2018-12-16,1009.89,credit,failed,śpec!al
INTU0FCBBJU5,C102197,20240612,135.02,cash,failed,partial
MJ0SSBPY3KOI,C101152,2024-11-13,587.47,BACS,refunded,chargeback - disputed
I77L7FHF3VBA,C100901,20170204,80.44,BACS,refunded,chargeback - disputed
4UEK4KBNKN4Q,C100573,2021/03/07,548.0,BACS,success,
YJDMZY79SWFQ,C91675,2018/09/08,111.84,unknown,chargeback,ref: ABC123
KA3ZBJXEZ2MK,C101112,24.04.2024,677.44,credit,refunded,partial
7RQQJ7ZKULHK,C101361,10/08/2016,367.8,Card,Success,partial
XWAI9W3T9C71,C101832,20-Jul-2025,46.21,credit,Success,śpec!al
LP9Z5R13CKML,C101439,04-May-2024,228.98,bank_transfer,chargeback,ref: ABC123
U2T2201YJRHB,C100186,20200623,990.36,ideal,refunded,partial
7FHFT411E2AS,C101037,20190325,318.66,credit,success,chargeback - disputed
9SMTGKA1T4WB,C100909,2023-02-05,102.23,bank_transfer,chargeback,chargeback - disputed
H5LUK0JJ6C6V,C101156,2021/09/20,268.17,cash,chargeback,
XX1DJEG5UKSD,C101462,04/02/2020,349.3,card,Success,ref: ABC123
3A0RLQOPP9DY,C100024,2023-01-31,449.87,bank_transfer,failed,partial
3UF3RB7KTTN4,C101192,07-01-2022,625.44,bank_transfer,Success,ref: ABC123
IBNENSTF4XPL,C100161,12-06-2025,390.35,unknown,pending,ref: ABC123
RB5E6UM8E297,C100008,20211102,522.1,unknown,failed,śpec!al
BCIGDRVPE38S,C102088,04.08.2022,402.5,bank_transfer,Success,chargeback - disputed
ZP9DK95RBPBY,C100293,2024-06-18,362.12,cash,Success,chargeback - disputed
D04RDRXZ6L74,C101854,29.10.2022,151.76,cash,success,partial
407PADW7X8OS,C101096,2016/04/12,198.57,cash,pending,śpec!al
MCDB170Q7SS2,C102079,2025-09-08,627.58,Card,refunded,partial
0Z8K3HLSGMWR,C101691,2016-04-05,702.01,Card,Success,chargeback - disputed
LF71BM3MMTO0,C102099,08-Oct-2016,257.02,bank_transfer,success,ref: ABC123
ZV0WF4HGNAIL,C100042,16/07/2022,407.77,Card,failed,chargeback - disputed
8TC9N330MCEI,C100511,30/12/2020,941.31,card,success,ref: ABC123
DQG2D7PAUQRL,C100981,20230718,"EUR 539,12",ideal,chargeback,ref: ABC123
FBTTYJ0P2O8W,C101210,20210819,108.91,ideal,refunded,ref: ABC123
PJL5C80I5D1E,C100672,20170329,980.56,bank_transfer,chargeback,śpec!al
1MBNT8JWNK7F,C101154,08/10/2025,"EUR 241,81",BACS,success,auto-retry
509TWEM8OPG8,C100357,2018/10/31,235.52,bank_transfer,refunded,śpec!al
EAJY7V2JH93C,C101434,20190306,102.42,credit,success,ref: ABC123
6GNSCOI4TDAH,C100773,05-30-2017,91.68,ideal,refunded,auto-retry
QA58KLLHBPB2,C101174,19-Apr-2016,425.27,unknown,Success,
QJAE3GP62JK2,C101530,25-Mar-2019,430.88,BACS,chargeback,
F9NHZNFW4Z7Y,C100182,11-26-2017,182.71,card,Success,chargeback - disputed
M9WXJXFKFLHY,C101800,28.06.2018,514.86,BACS,pending,ref: ABC123
APBSU2ABTEIR,C101458,01-30-2018,62.83,BACS,chargeback,
62TYJH41HT4N,C100824,07-Aug-2025,1084.22,unknown,success,partial
7WCGC0MZWA4T,C101456,23/06/2021,333.37,ideal,refunded,chargeback - disputed
HLZDVF5TUEFF,C100547,10-13-2020,491.37,ideal,Success,auto-retry
GB1KWYXLTF0Z,C101582,2016/04/16,397.42,bank_transfer,refunded,auto-retry
7E19ISOJEYZ1,C100536,07-Jul-2021,"EUR 1145,17",ideal,pending,chargeback - disputed
MEOKAALG6JY0,C101761,28/08/2019,88.95,credit,success,śpec!al
AQKT37QGQG29,C101078,2020-10-04,271.85,card,chargeback,ref: ABC123
L697D5S3P4Q8,C100445,07-09-2021,99.85,credit,pending,śpec!al
X057ZSJ817Y4,C101810,2022-02-24,298.01,credit,success,
SKQ1P59REC9I,C100958,2023/07/11,237.85,Card,Success,chargeback - disputed
A3I4MF7KBIEI,C101438,03.02.2016,"EUR 182,89",ideal,success,auto-retry
BGA7AZUWQK2R,C100497,06-04-2018,409.67,credit,Success,auto-retry
