visit_id,customer_id,unit_id,visited_at,purpose
V6939192,C100269,#21,20201010T161200,access
V5335160,C100617,#138,2025-02-11 09:48:00,inquiry
V8649712,C101899,u1354,19/02/2022 02:51,inquiry
V8006077,C101507,U1402,02/06/2018 08:01,payment
V3621343,C100601,Unit 155,23-Oct-2022 07:38PM,delivery
V8137714,C101794,58A,2022/07/12 05:28,inquiry
V7986320,C100742,U1480,2021/12/25 05:17,inspection
V9945692,C100609,U1017,2020-04-28 15:39:00,inspection
V7848813,C100944,#485,05-Jan-2023 02:45PM,payment
V6278350,C100651,U1497,2020-12-14 20:37:00,access
V3630414,C101284,#223,2024/10/26 15:38,inquiry
V0045875,C101007,16A,20250405T154900,delivery
V4375758,C101057,304A,2021/09/03 22:22,delivery
V5875186,C100911,#465,2021/04/02 14:34,inspection
V4308791,C101505,U1348,2020-11-02 16:21:00,inspection
V0499375,C101269,#307,18/11/2022 04:24,pickup
V6508626,C100463,#296,20210718T105100,move-out
V6148512,C100457,U1214,12/03/2024 10:27,access
V4742098,C101167,#72,2022/09/02 01:58,inquiry
V8370486,C101498,U1377,2018/07/22 21:58,move-out
V5935187,C100596,u1365,2021/05/13 03:49,access
V1299951,C101614,#127,2022/10/08 14:15,pickup
V7348544,C101011,#485,21-Oct-2020 04:18AM,pickup
V8355805,C101682,145A,20210821T222600,payment
V6260964,C101102,#96,20260128T074000,move-out
V9975618,C102179,#284,2021-11-03 20:10:00,delivery
V4895053,C100613,u1380,2022-11-10 16:17:00,inspection
V2677192,C100890,U1420,2022-12-07 13:41:00,delivery
V6362183,C101794,#388,24-Mar-2019 02:34AM,delivery
V3957183,C100420,411A,2021/05/16 20:51,inquiry
V2598769,C100621,Unit 8,20220404T211400,payment
V5333337,C101571,158A,2020/10/06 01:01,access
V1967221,C101781,#471,12-Jul-2018 08:50AM,delivery
V7859793,C100184,#422,2019-08-15 01:00:00,pickup
V5527778,C100723,U1122,2024/09/24 20:51,payment
V3896393,C100010,Unit 316,2021-09-10 21:27:00,delivery
V1912793,C100270,469A,15/08/2024 09:41,payment
V4430198,C100401,229A,08/09/2020 18:25,payment
V5881339,C100148,337A,13/08/2020 21:16,pickup
V5618866,C102106,Unit 242,2019/07/09 08:08,inspection
V7466397,C100966,Unit 341,20231029T002700,move-out
V6995062,C101803,u1069,2024/10/05 20:14,move-out
V9931737,C102157,u1014,2025/10/06 18:04,pickup
V1255051,C100109,#473,2024-08-15 12:29:00,access
V0330451,C100679,U1017,20190921T111900,inspection
V6991553,C100810,U1165,20220128T060000,inquiry
V1662032,C100779,U1342,19/01/2025 16:35,delivery
V8369928,C101760,Unit 432,2024/10/18 02:23,payment
V0331751,C101529,u1209,02/08/2021 16:08,inquiry
V8986524,C101768,u1276,2021/09/03 09:42,move-out
V7129824,C101487,224A,20231109T225600,inquiry
V2979389,C100555,u1389,16/01/2018 07:33,delivery
V6897848,C100226,Unit 315,2025/05/04 14:46,delivery
V6574253,C100939,451A,2020-05-24 11:29:00,payment
V2457669,C101794,Unit 230,15/10/2018 12:30,move-out
V5743097,C101288,u1232,15-Jun-2018 11:07PM,move-out
V7211068,C101391,U1393,20190820T161900,inquiry
V3773492,C100037,#138,23-Aug-2025 07:26PM,inspection
V6934385,C100486,U1040,20180908T235800,payment
V8632839,C102063,u1409,2021/02/11 09:39,inspection
V8962326,C100371,u1403 - ,20191222T070300,inquiry
V0069462,C101646,76A,28-Nov-2020 08:52AM,payment
V2364855,C100808,#138,2018/12/13 19:29,inspection
V2222997,C101926,85A,07/02/2026 01:45,move-out
V5604626,C101577,u1303,17/06/2023 01:41,move-out
V2989364,C100257,Unit 381,20201206T223900,delivery
V9845464,C100912,u1198,27-Apr-2023 02:34PM,move-out
V5993856,C101617,#351,2019/09/23 11:05,inquiry
V6096768,C101117,#228,2021/12/16 03:13,pickup
V3617491,C101869,#159,20200512T083200,inspection
V1574107,C102154,18A,18-Oct-2022 07:36PM,delivery
V3077191,C102185,U1458,20190426T071300,pickup
V8268600,C100001,#157,26-Mar-2019 08:17PM,pickup
V7812536,C101091,#11,18/07/2022 22:09,pickup
V3449944,C101309,Unit 59,04-Apr-2023 09:29PM,inspection
