unit_id,canonical_unit_id,size_sqm,monthly_fee
U1001,U1001,2,67.08
U1002,U1002,12,357.15
U1003,U1003,15,435.47
#4,U1004,10,219.55
Unit 5,U1005,8,175.57
U1006,U1006,8,191.8
#7,U1007,10,181.21
Unit 8,U1008,15,441.51
U1009,U1009,5,181.91
u1010,U1010,6,145.53
#11,U1011,2,61.75
#12,U1012,5,102.45
Unit 13,U1013,1,25.03
u1014,U1014,6,188.32
u1015,U1015,5,105.83
16A,U1016,15,360.75
U1017,U1017,1,18.82
18A,U1018,8,239.18
U1019,U1019,1,32.04
Unit 20,U1020,2,51.74
#21,U1021,5,170.25
#22,U1022,12,239.67
U1023,U1023,12,359.68
u1024,U1024,5,82.24
U1025,U1025,10,394.5
u1026,U1026,12,259.52
u1027,U1027,12,393.88
28A,U1028,12,216.3
#29,U1029,4,82.02
Unit 30,U1030,1,16.77
#31,U1031,3,88.22
U1032,U1032,2,62.95
U1033,U1033,1,16.52
u1034,U1034,4,113.63
35A,U1035,2,70.4
U1036,U1036,12,470.7
37A,U1037,10,203.44
Unit 38,U1038,8,305.3
39A,U1039,12,226.44
U1040,U1040,12,404.39
u1041,U1041,12,197.06
u1042,U1042,2,50.19
#43,U1043,1,17.05
u1044,U1044,5,158.72
45A,U1045,5,114.52
U1046,U1046,15,252.47
u1047,U1047,2,48.48
#48,U1048,15,227.93
Unit 49,U1049,3,53.66
u1050,U1050,15,494.1
Unit 51,U1051,10,376.33
U1052,U1052,5,75.44
#53,U1053,10,326.42
#54,U1054,3,47.7
Unit 55,U1055,1,24.12
u1056,U1056,6,192.31
#57,U1057,8,269.9
58A,U1058,3,46.86
Unit 59,U1059,4,75.92
u1060,U1060,10,199.89
u1061,U1061,4,62.37
Unit 62,U1062,5,155.19
U1063,U1063,1,36.93
U1064,U1064,1,29.91
U1065,U1065,12,295.56
#66,U1066,1,38.14
Unit 67,U1067,4,103.13
Unit 68,U1068,2,55.36
u1069,U1069,12,237.55
#70,U1070,3,87.68
71A,U1071,4,138.58
#72,U1072,4,107.32
Unit 73,U1073,2,55.77
Unit 74 ,U1074,4,82.46
U1075,U1075,15,395.78
76A,U1076,8,199.93
77A,U1077,2,40.94
u1078,U1078,12,455.24
#79,U1079,12,358.64
80A,U1080,12,429.17
81A,U1081,10,214.8
82A,U1082,12,368.02
Unit 83,U1083,5,114.96
u1084,U1084,3,49.82
85A,U1085,,98.95
86A,U1086,15,403.87
#87,U1087,8,269.5
Unit 88,U1088,4,103.58
u1089,U1089,8,288.1
#90,U1090,8,232.88
u1091,U1091,10,162.57
Unit 92,U1092,8,270.4
#93,U1093,1,16.3
U1094 ,U1094,1,38.74
U1095,U1095,10,290.99
#96,U1096,3,90.54
